,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5,5,1HMbjnCFGOWd8Sqou4maxM,Crayon,G-DRAGON,YG,2012-09-15,0.718,0.934,11,-3.787,0,0.169,0.046,0.0,0.687,0.308,132.017,196920
6,6,3V375E3xldRPEEcIKiw83l,Without You (Feat. ROSE),G-DRAGON,YG,2012-09-15,0.6,0.678,11,-6.894,1,0.0372,0.0311,0.0,0.338,0.326,123.991,242677
7,7,7g97EfyxPG5XZgYmLig9ML,That XX,G-DRAGON,YG,2012-09-15,0.764,0.47,4,-5.642,0,0.0433,0.533,0.0,0.133,0.801,119.886,199629
8,8,3BqfHyw9cLm6POreivziWN,Missing You (Feat. Kim Yuna),G-DRAGON,YG,2012-09-15,0.742,0.792,5,-4.713,1,0.0651,0.138,0.0,0.0704,0.78,123.001,207090
9,9,0tsbMAxGvVrTTufKgcT7Q7,Today (Feat. Kim Jong Wan),G-DRAGON,YG,2012-09-15,0.749,0.846,4,-3.882,1,0.0536,0.109,0.0,0.662,0.896,126.994,219005
10,10,35SEyd2PthIFACBDincd2l,불 붙여봐라 (feat. Tablo & Dok2) CD ONLY,G-DRAGON,YG,2012-09-15,0.749,0.846,4,-3.882,1,0.0536,0.109,0.0,0.662,0.896,126.994,219005
11,11,0ZzINCbYHNFtlGGjhNqTf3,INTRO. 권지용 (Middle Fingers-Up),G-DRAGON,YG,2017-06-08,0.742,0.896,0,-3.22,1,0.136,0.143,0.0,0.139,0.695,140.012,222722
12,12,0tnGCQAvjrRkB79fDMqV9z,개소리 (BULLSHIT),G-DRAGON,YG,2017-06-08,0.756,0.821,0,-5.494,1,0.0891,0.0533,0.0,0.354,0.574,96.008,182079
13,13,1WbFTVU0fj89qGAtHYSOnJ,SUPER STAR,G-DRAGON,YG,2017-06-08,0.743,0.718,7,-4.529,1,0.049,0.0294,2.01e-06,0.045,0.364,129.959,225944
14,14,16BS342F89MDqouSxgLaUK,"무제(無題) (Untitled, 2014)",G-DRAGON,YG,2017-06-08,0.583,0.461,4,-5.153,1,0.0321,0.785,1.7e-05,0.13,0.263,79.826,222868
15,15,46D6LQo5pQtkLGa7wTdTnK,OUTRO. 신곡(神曲) (Divina Commedia),G-DRAGON,YG,2017-06-08,0.691,0.6,8,-4.336,0,0.137,0.654,0.0,0.63,0.237,131.804,224400
16,16,4zXViIlvKDAjvIG5Keff87,A Boy,G-DRAGON,YG,2009-08-18,0.825,0.863,5,-4.743,0,0.0283,0.0273,0.0,0.0764,0.844,115.008,209293
17,17,4n5GvONt7Niv5In6awXHR7,Heartbreaker,G-DRAGON,YG,2009-08-18,0.775,0.792,0,-3.746,0,0.0613,0.0995,0.0,0.1,0.45,134.959,202547
18,18,4afjJiKWON0PV4GSPe5tPV,Breathe,G-DRAGON,YG,2009-08-18,0.849,0.675,9,-4.353,0,0.0689,0.00998,0.0,0.147,0.337,128.042,207453
19,19,2rR2h6ApCN1NG8fi4pq85G,Butterfly (Feat. Jin Jung),G-DRAGON,YG,2009-08-18,0.726,0.629,7,-8.277,1,0.085,0.269,0.0,0.13,0.482,99.922,224920
20,20,3q0s1lzYmm7fYIsSluGu4c,Hello (Feat. DARA),G-DRAGON,YG,2009-08-18,0.852,0.869,7,-4.819,1,0.217,0.06,0.0,0.107,0.79,117.017,200027
21,21,2PAPZaGi99CaNivO5IHYLs,Gossip Man (Feat. Kim Gun Mo),G-DRAGON,YG,2009-08-18,0.762,0.888,8,-3.626,1,0.0452,0.105,0.0,0.104,0.501,120.068,214147
22,22,5mmzEA6NYltYrHBJVE1jqV,Korean Dream (Feat. TAEYANG),G-DRAGON,YG,2009-08-18,0.784,0.832,0,-5.081,0,0.105,0.000819,0.0,0.388,0.771,127.096,197800
23,23,3k8nvicUBXisxer57q4LWc,The Leaders (Feat. Teddy & CL),G-DRAGON,YG,2009-08-18,0.74,0.764,7,-6.032,1,0.15,0.00771,0.0,0.0859,0.476,98.084,229747
24,24,3CqXsVC0JqWYxz5YQEwE9d,She's Gone (Feat. Kush),G-DRAGON,YG,2009-08-18,0.696,0.969,5,-2.735,0,0.0902,0.0478,0.0,0.378,0.83,102.986,224547
25,25,5q56EIQGye3cS86ui2t39G,1 Year,G-DRAGON,YG,2009-08-18,0.754,0.906,1,-4.503,1,0.0879,0.111,0.0,0.0461,0.854,139.902,245213
26,26,1SYcF2fUYDYQsISyFehQYI,COUP D'ETAT,G-DRAGON,YG,2013-09-05,0.616,0.87,8,-5.814,1,0.265,0.0485,0.0,0.269,0.59,129.994,178857
27,27,62qrReIGZC8zzdmw9DXEuS,NILIRIA - Missy Elliott Version,G-DRAGON,YG,2013-09-05,0.596,0.857,2,-4.968,1,0.314,0.0726,0.0,0.937,0.519,160.081,172295
28,28,3iBJHz5krbr4zUM40zzwcJ,R.O.D.,G-DRAGON,YG,2013-09-05,0.673,0.852,8,-5.122,1,0.201,0.031,0.0,0.104,0.586,144.953,236105
29,29,44f1TNdoQUgf3PUYraCTsH,Black (Feat. JENNIE of BLACKPINK),G-DRAGON,YG,2013-09-05,0.494,0.651,4,-7.971,0,0.378,0.314,0.0,0.249,0.471,89.587,203772
30,30,4uS12OS6QeNgiCHpaqwvlR,WHO YOU?,G-DRAGON,YG,2013-09-05,0.751,0.731,1,-4.38,1,0.214,0.204,0.0,0.198,0.763,90.033,201428
31,31,3jeGRLccqBJ0CxkUVZQKxE,SHAKE THE WORLD,G-DRAGON,YG,2013-09-05,0.736,0.777,7,-5.449,1,0.213,0.00439,0.0,0.318,0.673,128.026,174700
32,32,3N9lH3C9oykSau0Q74bVsi,GO,G-DRAGON,YG,2013-09-05,0.638,0.935,6,-4.993,1,0.416,0.0165,0.0,0.0989,0.39,154.216,208407
33,33,3mb0tvqsU8IPaAYvyf55az,CROOKED,G-DRAGON,YG,2013-09-05,0.665,0.919,2,-3.211,1,0.0922,0.00191,0.0,0.0588,0.782,129.962,224793
34,34,5CRuf5AnlXoapQfwi1sxbS,NILIRIA - G-Dragon Version,G-DRAGON,YG,2013-09-05,0.6,0.862,9,-4.927,1,0.289,0.0922,0.0,0.946,0.539,160.038,172295
35,35,6wCNJoZaOLnFzXoNFlR65V,RUNAWAY,G-DRAGON,YG,2013-09-05,0.695,0.897,0,-2.604,1,0.0732,0.00667,0.0,0.324,0.706,119.97,201062
36,36,2tNdosMthOOTnH1KYdKl16,I LOVE IT,G-DRAGON,YG,2013-09-05,0.733,0.835,6,-5.437,0,0.0503,0.136,0.0,0.344,0.768,120.034,194903
37,37,7nySA2CVivNXZvjwJLe9dG,YOU DO (Outro),G-DRAGON,YG,2013-09-05,0.864,0.472,8,-8.822,1,0.418,0.0764,0.0,0.0427,0.515,133.915,157871
38,38,0hEjJX5V3PwfXUuqqMG0jn,Turn It Up,T.O.P.,YG,2010-06-21,0.822,0.673,0,-3.407,1,0.153,0.0354,1.79e-06,0.0937,0.363,176.051,212509
39,39,7bjHNkZ1roAnXhv7Fr2jxn,DOOM DADA,T.O.P.,YG,2013-11-15,0.638,0.93,7,-3.073,1,0.112,0.0338,1.46e-06,0.36,0.615,156.154,213450
40,40,6yw2SNw9MZDroL2DLmUYDm,Intro (HOT),TAEYANG,YG,2008-05-22,0.832,0.861,0,-5.476,1,0.178,0.0621,0.0,0.372,0.789,119.997,89507
41,41,0QdoA14XPxSuuoiuNDzvKJ,Prayer (Feat. Teddy),TAEYANG,YG,2008-05-22,0.646,0.772,10,-5.235,0,0.0651,0.0133,0.0,0.0804,0.565,142.934,220733
42,42,1518ZPHBb0rmVAw1xNbOzu,Only Look At Me,TAEYANG,YG,2008-05-22,0.704,0.681,2,-5.199,1,0.0333,0.258,0.0,0.333,0.888,140.07,240920
