,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
68,68,0cZMA3EdKJKrKoGQEeMhFJ,Butterflies,Red Velvet,SM,2018-11-30,0.696,0.776,11,-5.728,0,0.147,8.73e-06,0.0839,0.494,120.008,209201,4
69,69,0W9HGC75wwxU4YweY045ln,So Good,Red Velvet,SM,2018-11-30,0.567,0.863,6,-3.97,0,0.275,0.0,0.197,0.618,153.899,206944,4
70,70,1GpDAcUjhk3luk6ce8pOi1,Sassy Me,Red Velvet,SM,2018-11-30,0.744,0.76,0,-5.381,1,0.287,6.4e-05,0.0791,0.494,97.02,186065,4
71,71,7klUw55UuyxUyGZVsj3Hod,Taste,Red Velvet,SM,2018-11-30,0.466,0.723,1,-5.323,1,0.0878,0.0,0.0737,0.884,199.656,184776,4
72,72,1IGMiTUqSpmRxmwL2pNX0n,RBB (Really Bad Boy) - English Version,Red Velvet,SM,2018-11-30,0.717,0.867,2,-3.26,1,0.0117,5.46e-05,0.118,0.376,150.109,188471,4
73,73,0yADs5FhpGm6KyTpCpsRYj,SAPPY,Red Velvet,SM,2019-01-06,0.746,0.93,5,-2.027,0,0.0512,1.28e-06,0.0957,0.466,106.031,199813,4
74,74,3D0qt4fQGE3Pq52MxFjXak,Sayonara,Red Velvet,SM,2019-02-20,0.498,0.755,0,-4.551,0,0.468,2.67e-06,0.267,0.556,120.064,196200,3
75,75,7il3ehwwEeRyjQgKPtFADx,Swimming Pool,Red Velvet,SM,2019-05-29,0.609,0.934,8,-0.984,1,0.221,0.0,0.309,0.906,159.95,200827,4
76,76,0GUbhhI5fRx7BlqlqlhjuB,Zimzalabim,Red Velvet,SM,2019-06-19,0.68,0.878,5,-4.791,0,0.0028,2.22e-05,0.336,0.531,127.991,190860,4
77,77,5yGTiC0ypN09P4Nl6tE3FY,Sunny Side Up!,Red Velvet,SM,2019-06-19,0.706,0.694,11,-5.555,0,0.149,0.0,0.11,0.586,134.96,203818,4
0,0,7x5shgmSrMeIfeGIVzspPK,Milkshake,Red Velvet,SM,2019-06-19,0.526,0.765,11,-5.855,1,0.0431,4.22e-06,0.39,0.84,167.813,210696,4
1,1,6u78votmpGuKAE4BOeJtRC,Bing Bing,Red Velvet,SM,2019-06-19,0.774,0.888,10,-3.689,1,0.106,3.84e-05,0.432,0.45,114.035,202404,4
2,2,5K8cgjL8hGTXpi5Z6uJFwe,Parade,Red Velvet,SM,2019-06-19,0.728,0.84,8,-4.206,1,0.046,0.00131,0.579,0.715,94.954,193381,4
3,3,7AetvQATDEQxoFDsH2gRnr,LP,Red Velvet,SM,2019-06-19,0.674,0.832,5,-5.2,1,0.0714,0.0,0.714,0.761,159.995,207837,4
4,4,5qSoW3ewNlhRN3FNZPmVns,Umpah Umpah,Red Velvet,SM,2019-08-20,0.693,0.935,7,-3.306,1,0.0258,0.0,0.437,0.844,119.973,220131,4
5,5,5hBUsxIkIDPkBoJ7J3JuIh,Carpool,Red Velvet,SM,2019-08-20,0.711,0.823,0,-3.49,1,0.187,0.0,0.208,0.701,122.122,206757,4
6,6,6H6pp6uVW33kAm6qSBnysf,Love Is The Way,Red Velvet,SM,2019-08-20,0.831,0.633,7,-4.568,1,0.0359,3.35e-05,0.125,0.921,119.931,211988,4
7,7,5ots8XAjbFfFm3yrqftWOF,Jumpin’,Red Velvet,SM,2019-08-20,0.731,0.839,0,-3.981,1,0.0106,0.0,0.316,0.811,148.996,215820,4
8,8,73pkNaWK4N5QfkjabwW40s,Ladies Night,Red Velvet,SM,2019-08-20,0.598,0.883,7,-3.456,1,0.0895,0.0,0.0731,0.705,115.023,236746,4
9,9,4o6LdaI3q5QFjs0sziszsD,"Eyes Locked, Hands Locked",Red Velvet,SM,2019-08-20,0.647,0.674,10,-3.236,1,0.624,1.47e-06,0.202,0.734,79.986,250969,4
10,10,3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,SM,2019-12-23,0.664,0.666,8,-2.203,1,0.193,0.0,0.0854,0.405,139.987,210560,4
11,11,2iYnEfKsAsE86Yb9mS4b3E,In & Out,Red Velvet,SM,2019-12-23,0.568,0.804,0,-2.995,0,0.211,0.0,0.14,0.612,159.68,192707,4
12,12,2m9K7KlDOQ0NXk9xBpkuoZ,Remember Forever,Red Velvet,SM,2019-12-23,0.576,0.619,3,-3.324,1,0.57,0.0,0.0916,0.524,149.896,187720,3
13,13,1O7qPyMtudzP3APaOT2OTH,La Rouge - Special Track,Red Velvet,SM,2019-12-23,0.614,0.842,1,-2.751,1,0.0814,0.0,0.0744,0.705,94.907,189813,4
14,14,6c1QaQHdDhtFMfUkhueuXK,Monster,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.631,0.748,4,-2.569,0,0.212,0.0,0.537,0.351,115.665,178413,4
15,15,41vPeGMYDN84rC9FSv4BTl,Diamond,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.717,0.731,10,-3.74,0,0.143,1e-06,0.119,0.498,91.035,196173,4
16,16,59yaVNyPDsHYGnsDTJSH67,Feel Good,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.577,0.657,7,-5.132,1,0.047,6.93e-05,0.209,0.303,97.954,193120,4
17,17,6mu2cymBOKqnp4QP0966fW,Jelly,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.621,0.919,0,-2.594,1,0.106,5.47e-06,0.0604,0.921,168.029,192933,4
18,18,7mWe6HT5DzFuNdvbn8T7wA,Uncover (Sung by SEULGI) - Bonus Track,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.461,0.61,1,-6.276,0,0.524,2.83e-05,0.23,0.424,77.562,221957,4
19,19,0P8lbWigAHXPKxUG60xh79,Naughty,Red Velvet - IRENE & SEULGI,SM,2020-07-20,0.693,0.759,7,-2.9,1,0.055,1.36e-06,0.116,0.635,112.983,198520,4
20,20,2Oj5hRhkJH00VGzjBdQNq3,Milky Way,Red Velvet,SM,2020-08-21,0.656,0.721,8,-3.981,1,0.393,0.0,0.124,0.74,98.019,217533,4
21,21,6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,Red Velvet,SM,2021-08-16,0.695,0.896,5,-1.24,1,0.179,0.0,0.0626,0.508,119.959,181760,4
22,22,6RTF5urAOB5C52nLxeRK5h,Pose,Red Velvet,SM,2021-08-16,0.841,0.831,10,-3.675,0,0.0617,0.0,0.101,0.762,124.965,200680,4
23,23,0c2wKRwXpqSCBrAImEFCNf,Knock On Wood,Red Velvet,SM,2021-08-16,0.533,0.869,11,-3.396,0,0.213,0.0,0.162,0.789,106.029,220587,4
