,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
57,57,11dQTEghmS3uFipXhk1Tbl,Amnesia,KAI,SM,2020-11-30,0.521,0.661,2,-4.85,1,0.0409,0.303,0.0,0.185,0.355,141.957,178920
58,58,5x2p715xYEKn2AdV9pNv52,Reason,KAI,SM,2020-11-30,0.583,0.672,8,-5.594,0,0.216,0.217,0.0,0.233,0.543,204.002,173907
59,59,5Ej0A9BOsVSrxYwC6GSfCv,Ride Or Die,KAI,SM,2020-11-30,0.555,0.858,0,-3.283,1,0.0316,0.609,2.61e-05,0.0885,0.23,148.402,200733
60,60,3LjS1vGAprMNthdyue5XZD,Hello Stranger,KAI,SM,2020-11-30,0.637,0.669,2,-5.031,0,0.0969,0.28,6.06e-06,0.0841,0.515,152.05,168253
61,61,237OjBs3wvamAFpHp0yItw,Peaches,KAI,SM,2021-11-30,0.633,0.775,6,-3.747,1,0.0413,0.348,0.0,0.612,0.486,134.093,198080
62,62,4RSjEf7JWR77EhtwRnMxEh,Vanilla,KAI,SM,2021-11-30,0.852,0.535,8,-6.846,1,0.0419,0.508,0.185,0.0966,0.716,128.082,208440
63,63,1UeITRTmB1Qc39ZJzCAx6q,Domino,KAI,SM,2021-11-30,0.917,0.748,11,-4.437,1,0.0972,0.0202,0.000822,0.117,0.488,101.979,175227
64,64,5EwgzaaMsfgV21TAGeVUmF,Come In,KAI,SM,2021-11-30,0.713,0.63,4,-5.508,0,0.0401,0.23,0.0,0.18,0.601,140.021,182120
65,65,3UfU8FzgIuZTxAjAkiub9U,To Be Honest,KAI,SM,2021-11-30,0.757,0.746,7,-2.766,1,0.0273,0.174,0.0,0.158,0.477,98.049,173587
66,66,2s4pzQWSxqfOcMauQ2dMcW,Blue,KAI,SM,2021-11-30,0.647,0.494,6,-6.123,0,0.0326,0.838,0.0,0.123,0.335,141.953,180960
67,67,3WUyu94psXrYV6HZbXgcFA,Rover,KAI,SM,2023-03-13,0.629,0.806,1,-2.034,0,0.201,0.0212,0.000487,0.0955,0.545,186.022,174507
68,68,7iRF1psaTyvaVzyTvZhP91,Black Mirror,KAI,SM,2023-03-13,0.809,0.557,7,-4.805,1,0.0721,0.172,6.92e-05,0.116,0.342,140.012,175493
69,69,1kDHz6nhxNtdvh209RvyU6,Slidin',KAI,SM,2023-03-13,0.83,0.573,11,-3.788,0,0.0442,0.513,0.0,0.113,0.397,120.0,163533
70,70,1E6H8b0dUuCt7vbBgL1Fvm,Bomba,KAI,SM,2023-03-13,0.799,0.79,10,-3.692,0,0.0736,0.274,0.0,0.041,0.702,93.978,187907
71,71,6eTTfUgRT21VXq2C2eJ9F3,Say You Love Me,KAI,SM,2023-03-13,0.59,0.542,7,-4.725,1,0.11,0.766,0.0,0.0871,0.0481,70.966,202080
